Speaker	sound name	Segment	Context	Prompt	Duration	x_1	y_1	x_2	y_2	x_3	y_3	x_4	y_4	x_5	y_5	x_6	y_6	x_7	y_7	x_8	y_8	x_9	y_9	x_10	y_10	x_11	y_11	x_12	y_12	x_13	y_13	x_14	y_14	x_15	y_15	x_16	y_16	x_17	y_17	x_18	y_18	x_19	y_19	x_20	y_20	x_21	y_21	x_22	y_22	x_23	y_23	x_24	y_24	x_25	y_25	x_26	y_26	x_27	y_27	x_28	y_28	x_29	y_29	x_30	y_30	x_31	y_31	x_32	y_32	x_33	y_33	x_34	y_34	x_35	y_35	x_36	y_36	x_37	y_37	x_38	y_38	x_39	y_39	x_40	y_40	x_41	y_41	x_42	y_42
test	  File251	l	internal-boundary	The peel-instrument's useful	0.0795	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.4259	7.8666	5.73	8.2677	6.1512	8.4838	6.4424	8.9773	6.8256	9.3259	7.2042	9.7349	7.604	10.1556	8.038	10.5481	8.4935	10.9595	8.9733	11.3993	9.5173	11.5681	10.0757	11.671	10.6399	11.7759	11.2102	11.7781	11.7816	11.777	12.3448	11.6727	12.9061	11.5802	13.4728	11.5133	14.0228	11.3638	14.5593	11.1726	15.1086	11.0234	15.6365	10.8117	16.1243	10.5125	16.5638	10.1343	16.9692	9.7214	17.3971	9.3691	17.8099	9.0055	18.2403	8.6728	18.5534	8.2034	18.8597	7.7471	19.2331	7.3708	*	*	*	*	*	*
test	  File257	l	fPreC	Mr Neil Banana's from Manchester	0.0813	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.7434	8.2447	6.1293	8.5257	6.4424	8.9773	6.8145	9.3528	7.181	9.7993	7.5738	10.2536	8.0153	10.6357	8.515	10.8568	9.0072	11.1907	9.5316	11.4445	10.0762	11.664	10.6411	11.7224	11.209	11.7261	11.7785	11.7315	12.3509	11.7255	12.9046	11.5715	13.4297	11.3084	13.9676	11.1501	14.4539	10.8304	14.9602	10.6101	15.4624	10.389	15.9315	10.0995	16.3636	9.7523	16.7748	9.3886	17.1545	8.9944	17.5351	8.6211	17.9095	8.2522	18.2308	7.83	18.5206	7.3893	18.8267	6.9797	*	*	*	*	*	*
test	  File225	l	internal-boundary	The peel-instrument's useful	0.0785	*	*	*	*	*	*	*	*	*	*	5.6662	5.461	5.1718	6.6872	5.2569	7.3035	5.5554	7.6667	5.864	8.0383	6.2854	8.2277	6.6654	8.4996	6.9963	8.9115	7.2845	9.5112	7.6793	9.9111	8.0868	10.3591	8.5043	10.9081	9.0268	11.0696	9.5438	11.3388	10.0872	11.5041	10.6435	11.6165	11.2115	11.8331	11.7969	11.9978	12.376	11.943	12.9484	11.8408	13.492	11.6052	14.0194	11.3507	14.5535	11.1539	15.0808	10.9458	15.5879	10.6937	16.1243	10.5125	16.631	10.2625	17.1035	9.9512	17.5352	9.5824	17.9294	9.1726	18.3182	8.7717	18.735	8.4136	19.0412	7.9387	19.3153	7.4499	19.6621	7.0421	*	*	*	*
test	  File199	l	internal-boundary	The peel-instrument's useful	0.1201	*	*	*	*	*	*	5.8583	4.2513	5.8523	4.7273	5.7688	5.3423	5.4302	6.3589	5.3436	7.1822	5.5308	7.7046	5.8739	8.0214	6.2413	8.3119	6.5737	8.6961	6.9319	9.0677	7.2845	9.5112	7.6248	10.0881	8.038	10.5481	8.4913	10.97	8.9916	11.2866	9.5248	11.5031	10.072	11.7243	10.6374	11.883	11.2139	11.94	11.7929	11.9406	12.3577	11.7846	12.93	11.7279	13.4858	11.5755	14.0194	11.3507	14.5385	11.1051	15.0638	10.8985	15.5612	10.6289	16.0532	10.3602	16.5199	10.0506	16.9692	9.7214	17.3886	9.356	17.8281	9.031	18.2403	8.6728	18.6028	8.2606	18.7798	7.6628	19.0994	7.2421	*	*	*	*	*	*
test	  File281	l	intervocalic	and Felix is served	0.057	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.4868	8.882	6.8398	9.2914	7.2804	9.5228	7.7624	9.6412	8.1908	9.9568	8.6442	10.2415	9.125	10.4646	9.6307	10.5858	10.1268	10.9309	10.6528	11.2109	11.1998	11.3253	11.7662	11.5535	12.3512	11.7284	12.9466	11.8302	13.5492	11.8777	14.0828	11.5962	14.723	11.704	15.3284	11.6352	15.9056	11.4647	16.4441	11.1976	16.9472	10.8658	17.4315	10.5128	17.7977	9.9876	18.1601	9.4954	18.41	8.8884	18.7495	8.4303	19.1349	8.0375	*	*	*	*	*	*	*	*
test	  File280	l	intervocalic	The helix  is curved	0.0661	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.9651	7.8577	7.3043	8.1638	7.586	8.6719	7.9383	9.0705	8.3226	9.4465	8.741	9.7801	9.2003	10.0007	9.6778	10.1777	10.1743	10.2437	10.6699	10.4675	11.1828	10.5859	11.7313	11.0494	12.3048	11.3267	12.9119	11.6161	13.531	11.7907	14.1351	11.7986	14.7168	11.6838	15.292	11.5341	15.914	11.4852	16.5201	11.3603	17.1362	11.2266	17.5998	10.8008	18.0219	10.3339	18.218	9.5763	18.4814	8.9792	18.8757	8.5764	19.1634	8.0676	19.4961	7.6239	19.9768	7.3183	*	*	*	*
test	  File198	l	fPreV_internal	I sent Neil interesting emails	0.0857	*	*	*	*	*	*	*	*	*	*	5.4915	5.6632	5.529	6.2333	5.4992	6.9645	5.6044	7.591	5.7903	8.1645	6.019	8.736	6.3206	9.2381	6.6479	9.757	7.0386	10.196	7.4892	10.5281	7.9601	10.8494	8.4374	11.2266	8.9492	11.5477	9.4943	11.7674	10.0652	11.824	10.6385	11.8333	11.2163	12.0456	11.8005	12.051	12.3889	12.055	12.9527	11.8678	13.5073	11.678	14.0487	11.464	14.5639	11.1875	15.0406	10.8339	15.4891	10.4537	15.9218	10.0788	16.3521	9.7303	16.7748	9.3886	17.196	9.0586	17.524	8.6056	17.8629	8.1931	18.2605	7.8644	18.5994	7.4725	18.8267	6.9797	*	*	*	*	*	*
test	  File290	l	suffix	The swarm moves free-ly	0.0777	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.9808	7.8385	6.1964	8.3977	6.5847	8.6724	6.9774	8.9574	7.3867	9.2268	7.8241	9.4411	8.2425	9.7566	8.6725	10.1067	9.1454	10.3393	9.6367	10.5343	10.1501	10.5947	10.662	10.8119	11.1906	10.9237	11.7227	10.9247	12.2777	11.0919	12.8624	11.3109	13.4536	11.4219	14.0944	11.6408	14.6532	11.4774	15.2184	11.329	15.7808	11.1619	16.2859	10.8587	16.7976	10.5805	17.2239	10.1574	17.6387	9.7422	17.9585	9.2134	18.3852	8.8569	18.8301	8.5236	19.3791	8.2951	*	*	*	*	*	*	*	*
test	  File202	l	intervocalic	The helix  is curved	0.0738	*	*	*	*	*	*	5.9135	4.1981	5.7763	4.8075	5.7509	5.363	5.8673	5.8034	5.8143	6.5237	6.0023	6.9765	6.081	7.6669	6.4138	7.9828	6.7252	8.3715	7.0745	8.7217	7.4587	9.0262	7.8677	9.2994	8.3297	9.4191	8.7779	9.6043	9.2379	9.7689	9.7046	9.9455	10.1866	10.0651	10.6726	10.3531	11.1827	10.5819	11.7185	10.8628	12.273	11.0512	12.8486	11.2262	13.4226	11.2745	14.0208	11.3561	14.5731	11.2174	15.1566	11.1569	15.7111	10.9927	16.2934	10.8747	16.8753	10.7287	17.3672	10.4026	17.7977	9.9876	17.9977	9.2683	18.2215	8.6488	18.5309	8.1773	18.9112	7.8015	19.3213	7.4557	*	*	*	*	*	*
test	  File231	l	fPreC	Mr Neil Banana's from Manchester	0.0936	*	*	*	*	*	*	5.531	4.5662	5.6157	4.977	5.3435	5.8345	5.1718	6.6872	5.1625	7.4355	5.3456	7.9906	5.7669	8.2046	6.0967	8.5878	6.4328	8.9977	6.8145	9.3528	7.1931	9.7656	7.6144	10.1217	8.0706	10.422	8.5172	10.8464	9.0268	11.0696	9.5621	11.1801	10.0983	11.3442	10.646	11.5084	11.2053	11.5656	11.7708	11.621	12.3387	11.6199	12.9117	11.615	13.4536	11.4219	13.9969	11.2635	14.5037	10.9921	14.9432	10.5627	15.3604	10.1415	15.77	9.7535	16.153	9.3505	16.5709	9.0395	17.0496	8.8324	17.5168	8.5955	17.9353	8.2851	18.3065	7.9176	18.5981	7.4711	18.8254	6.9784	*	*	*	*	*	*
test	  File250	l	fPreV_internal	I sent Neil interesting emails	0.0765	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.5959	8.4972	5.9079	8.9481	6.281	9.323	6.6248	9.8132	7.0496	10.1653	7.4892	10.5281	7.9731	10.7992	8.476	11.043	9.0072	11.1907	9.537	11.3974	10.0909	11.4508	10.6399	11.7759	11.2102	11.7781	11.7819	11.7808	12.3577	11.7846	12.9399	11.7886	13.5096	11.689	13.9998	11.2748	14.5338	11.0898	15.0855	10.9591	15.5834	10.6826	16.0135	10.2751	16.4863	9.9864	16.9419	9.6747	17.3727	9.3314	17.7846	8.9702	18.1992	8.6205	18.4845	8.1236	18.8584	7.7457	19.2084	7.3471	*	*	*	*	*	*
test	  File206	l	fPreC	Mr Peale Banana's from Manchester	0.0708	*	*	*	*	*	*	*	*	*	*	*	*	5.1718	6.6872	5.1625	7.4355	5.2809	8.0906	5.5492	8.5773	5.8965	8.9698	6.1893	9.5194	6.6025	9.8674	6.9924	10.3246	7.4348	10.7047	7.8789	11.1637	8.4007	11.4017	8.9465	11.5642	9.5065	11.6617	10.0647	11.8309	10.6386	11.8305	11.2114	11.8316	11.7858	11.838	12.3638	11.8374	12.9131	11.6236	13.4643	11.4731	13.9901	11.2373	14.4689	10.8792	14.937	10.5456	15.3981	10.2329	15.8206	9.8619	16.2422	9.5206	16.7009	9.2621	17.1545	8.9944	17.6038	8.7172	17.9668	8.3251	18.3065	7.9176	18.6756	7.5529	18.8813	7.0322	19.0105	6.4704	*	*	*	*
